#Boxe      	Density   	Pressure  	4-4       	5-5       	6-6       
24.616000	2.247438	0.000000	335.000000	0.000000	0.000000
24.451600	2.293076	1.000000	334.000000	2.000000	0.000000
24.207100	2.363262	2.000000	334.000000	2.000000	0.000000
23.985100	2.429493	3.000000	335.000000	0.000000	0.000000
23.765100	2.497591	4.000000	334.000000	0.000000	0.000000
23.566900	2.561137	5.000000	334.000000	0.000000	0.000000
23.331300	2.639511	6.000000	332.000000	3.000000	0.000000
22.962900	2.768599	7.000000	301.000000	8.000000	2.000000
22.752300	2.846193	8.000000	288.000000	6.000000	2.000000
22.542700	2.926324	9.000000	273.000000	8.000000	3.000000
22.113600	3.100001	10.000000	221.000000	27.000000	3.000000
22.002700	3.147113	11.000000	219.000000	57.000000	3.000000
21.910800	3.186879	12.000000	210.000000	22.000000	5.000000
21.837500	3.219078	13.000000	198.000000	25.000000	6.000000
21.764500	3.251578	14.000000	194.000000	29.000000	5.000000
21.385000	3.427776	15.000000	94.000000	131.000000	6.000000
21.331400	3.453680	16.000000	95.000000	136.000000	6.000000
21.206700	3.514965	17.000000	68.000000	141.000000	9.000000
21.135700	3.550507	18.000000	64.000000	134.000000	8.000000
21.012200	3.613480	19.000000	19.000000	161.000000	20.000000
20.941900	3.649993	20.000000	19.000000	149.000000	47.000000
